IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Bulgaria,SEX_FMLE,1
Life expectancy at birth (years),Bulgaria,SEX_FMLE,74.98
Life expectancy at birth (years),Bulgaria,SEX_MLE,67.98
Life expectancy at birth (years),Bulgaria,SEX_BTSX,71.31
Maternal mortality ratio (per 100 000 live births),Bulgaria,NA,7.09
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Bulgaria,NA,87
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Bulgaria,SEX_BTSX,2.9
Mortality rate due to homicide (per 100 000 population),Bulgaria,NA,1.08
Mortality rate from unintentional poisoning (per 100 000 population),Bulgaria,NA,0.76
Neonatal mortality rate (per 1000 live births),Bulgaria,SEX_BTSX,2.7
New HIV infections (per 1000 uninfected population),Bulgaria,SEX_BTSX,0.03
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Bulgaria,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Bulgaria,NA,87
Population with household expenditures on health > 10% of total household expenditure or income (%),Bulgaria,NA,21.28
Population with household expenditures on health > 25% of total household expenditure or income (%),Bulgaria,NA,3.07
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Bulgaria,SEX_FMLE,23.6
Prevalence of obesity among children and adolescents (5–19 years) (%),Bulgaria,SEX_BTSX,12.06
Prevalence of overweight in children under 5 (%),Bulgaria,NA,3.8
Prevalence of stunting in children under 5 (%),Bulgaria,NA,5.6
Prevalence of wasting in children under 5 (%),Bulgaria,NA,6
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Bulgaria,NA,24.05
Proportion of births attended by skilled health personnel (%),Bulgaria,NA,94.5
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Bulgaria,NA,6
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Bulgaria,NA,19
Proportion of population using safely-managed drinking-water services (%),Bulgaria,NA,95.65
Proportion of population using safely-managed sanitation services (%),Bulgaria,NA,73.46
Proportion of safely treated domestic wastewater flows (%),Bulgaria,NA,72.09
Reported number of people requiring interventions against NTDs,Bulgaria,NA,89
Road traffic mortality rate (per 100 000 population),Bulgaria,NA,8.4
Suicide mortality rate (per 100 000 population),Bulgaria,NA,9.76
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Bulgaria,SEX_BTSX,11.92
Tuberculosis incidence (per 100 000 population),Bulgaria,NA,16
UHC: Service coverage index,Bulgaria,NA,73.49
Under-five mortality rate (per 1000 live births),Bulgaria,SEX_BTSX,6.1
Adolescent birth rate (per 1000 women),Burkina Faso,AGEGROUP_YEARS10-14,1.21
Adolescent birth rate (per 1000 women),Burkina Faso,AGEGROUP_YEARS15-19,92.94
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Burkina Faso,SEX_BTSX,201.29
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Burkina Faso,SEX_BTSX,30.5
Age-standardized prevalence of obesity among adults (18+ years) (%),Burkina Faso,SEX_BTSX,6.75
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Burkina Faso,SEX_BTSX,14.3
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Burkina Faso,NA,62.76
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Burkina Faso,NA,46.04
Average of 15 International Health Regulations core capacity scores,Burkina Faso,NA,56.93
Density of dentists (per 10 000 population) ,Burkina Faso,NA,0.02
Density of medical doctors (per 10 000 population) ,Burkina Faso,NA,1.47
Density of nursing and midwifery personnel (per 10 000 population) ,Burkina Faso,NA,10.26
Density of pharmacists (per 10 000 population) ,Burkina Faso,NA,0.25
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Burkina Faso,NA,91
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Burkina Faso,NA,9.84
Healthy life expectancy at birth (years),Burkina Faso,SEX_BTSX,54.56
Healthy life expectancy at birth (years),Burkina Faso,SEX_MLE,53.52
Healthy life expectancy at birth (years),Burkina Faso,SEX_FMLE,55.56
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Burkina Faso,NA,1.66
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Burkina Faso,SEX_FMLE,16
Life expectancy at birth (years),Burkina Faso,SEX_FMLE,64.64
Life expectancy at birth (years),Burkina Faso,SEX_BTSX,62.3
Life expectancy at birth (years),Burkina Faso,SEX_MLE,59.88
Malaria incidence (per 1000 population at risk),Burkina Faso,NA,353.68
Maternal mortality ratio (per 100 000 live births),Burkina Faso,NA,263.76
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Burkina Faso,NA,71
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Burkina Faso,SEX_BTSX,60.9
Mortality rate due to homicide (per 100 000 population),Burkina Faso,NA,9.23
Mortality rate from unintentional poisoning (per 100 000 population),Burkina Faso,NA,1.62
Neonatal mortality rate (per 1000 live births),Burkina Faso,SEX_BTSX,24.64
New HIV infections (per 1000 uninfected population),Burkina Faso,SEX_BTSX,0.08
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Burkina Faso,NA,0
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),Burkina Faso,NA,80.77
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),Burkina Faso,NA,51.16
"Percentage of total antibiotic consumption being from the AWaRe ""Access"" antibiotics category  (%)",Burkina Faso,NA,83.57
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Burkina Faso,NA,91
Population with household expenditures on health > 10% of total household expenditure or income (%),Burkina Faso,NA,8.37
Population with household expenditures on health > 25% of total household expenditure or income (%),Burkina Faso,NA,1.76
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Burkina Faso,SEX_FMLE,52.5
Prevalence of obesity among children and adolescents (5–19 years) (%),Burkina Faso,SEX_BTSX,1.07
Prevalence of overweight in children under 5 (%),Burkina Faso,NA,2
Prevalence of stunting in children under 5 (%),Burkina Faso,NA,21.8
Prevalence of wasting in children under 5 (%),Burkina Faso,NA,10.3
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Burkina Faso,NA,24.07
Proportion of births attended by skilled health personnel (%),Burkina Faso,NA,95.8
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Burkina Faso,NA,11
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Burkina Faso,NA,19
Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis (%),Burkina Faso,NA,0
Proportion of population using a hand-washing facility with soap and water (%),Burkina Faso,NA,9.16
Proportion of population using safely-managed sanitation services (%),Burkina Faso,NA,9.75
Proportion of population with primary reliance on clean fuels and technology (%),Burkina Faso,NA,17.2
Proportion of safely treated domestic wastewater flows (%),Burkina Faso,NA,2.78
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Burkina Faso,SEX_FMLE,58.2
Reported number of people requiring interventions against NTDs,Burkina Faso,NA,3709196
Road traffic mortality rate (per 100 000 population),Burkina Faso,NA,27.8
Suicide mortality rate (per 100 000 population),Burkina Faso,NA,8.41
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Burkina Faso,SEX_BTSX,9.81
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Burkina Faso,NA,8.86
Tuberculosis incidence (per 100 000 population),Burkina Faso,NA,44
UHC: Service coverage index,Burkina Faso,NA,39.6
Under-five mortality rate (per 1000 live births),Burkina Faso,SEX_BTSX,78.78
Adolescent birth rate (per 1000 women),Burundi,AGEGROUP_YEARS10-14,0.73
Adolescent birth rate (per 1000 women),Burundi,AGEGROUP_YEARS15-19,58.22
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Burundi,SEX_BTSX,205.9
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Burundi,SEX_BTSX,34.2
Age-standardized prevalence of obesity among adults (18+ years) (%),Burundi,SEX_BTSX,5.02
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Burundi,SEX_BTSX,11.2
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Burundi,NA,69.51
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Burundi,NA,28.38
Average of 15 International Health Regulations core capacity scores,Burundi,NA,32.13
Density of dentists (per 10 000 population) ,Burundi,NA,0.01
Density of medical doctors (per 10 000 population) ,Burundi,NA,0.65
Density of nursing and midwifery personnel (per 10 000 population) ,Burundi,NA,7.58
Density of pharmacists (per 10 000 population) ,Burundi,NA,0.08
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Burundi,NA,91
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Burundi,NA,7.33
Healthy life expectancy at birth (years),Burundi,SEX_FMLE,56.88
Healthy life expectancy at birth (years),Burundi,SEX_BTSX,55.84
Healthy life expectancy at birth (years),Burundi,SEX_MLE,54.8
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Burundi,NA,1.35
Life expectancy at birth (years),Burundi,SEX_BTSX,64.01
Life expectancy at birth (years),Burundi,SEX_MLE,62.05
Life expectancy at birth (years),Burundi,SEX_FMLE,65.95
Malaria incidence (per 1000 population at risk),Burundi,NA,261.4
Maternal mortality ratio (per 100 000 live births),Burundi,NA,494.43
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Burundi,NA,85
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Burundi,SEX_BTSX,53.3
Mortality rate due to homicide (per 100 000 population),Burundi,NA,6.53
Mortality rate from unintentional poisoning (per 100 000 population),Burundi,NA,2.25
Neonatal mortality rate (per 1000 live births),Burundi,SEX_BTSX,19.85
New HIV infections (per 1000 uninfected population),Burundi,SEX_BTSX,0.1
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Burundi,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Burundi,NA,91
Population with household expenditures on health > 10% of total household expenditure or income (%),Burundi,NA,4.77
Population with household expenditures on health > 25% of total household expenditure or income (%),Burundi,NA,0.88
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Burundi,SEX_FMLE,38.5
Prevalence of obesity among children and adolescents (5–19 years) (%),Burundi,SEX_BTSX,2.41
Prevalence of overweight in children under 5 (%),Burundi,NA,3.6
Prevalence of stunting in children under 5 (%),Burundi,NA,56.5
Prevalence of wasting in children under 5 (%),Burundi,NA,4.9
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Burundi,NA,23.88
Proportion of births attended by skilled health personnel (%),Burundi,NA,75.2
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Burundi,NA,22
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Burundi,NA,40
Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis (%),Burundi,NA,0
Proportion of population using a hand-washing facility with soap and water (%),Burundi,NA,6.3
Proportion of population with primary reliance on clean fuels and technology (%),Burundi,NA,0.1
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Burundi,SEX_FMLE,39.6
Reported number of people requiring interventions against NTDs,Burundi,NA,2281106
Road traffic mortality rate (per 100 000 population),Burundi,NA,12.3
Suicide mortality rate (per 100 000 population),Burundi,NA,7.68
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Burundi,SEX_BTSX,4.13
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Burundi,NA,11.94
Tuberculosis incidence (per 100 000 population),Burundi,NA,97
UHC: Service coverage index,Burundi,NA,41.46
Under-five mortality rate (per 1000 live births),Burundi,SEX_BTSX,50.49
Adolescent birth rate (per 1000 women),Cabo Verde,AGEGROUP_YEARS15-19,39.97
Adolescent birth rate (per 1000 women),Cabo Verde,AGEGROUP_YEARS10-14,0.42
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Cabo Verde,SEX_BTSX,91.16
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Cabo Verde,SEX_BTSX,44.1
Age-standardized prevalence of obesity among adults (18+ years) (%),Cabo Verde,SEX_BTSX,15.77
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Cabo Verde,SEX_BTSX,11
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Cabo Verde,NA,5.81
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Cabo Verde,NA,32.63
Average of 15 International Health Regulations core capacity scores,Cabo Verde,NA,61.67
Density of dentists (per 10 000 population) ,Cabo Verde,NA,0.17
Density of medical doctors (per 10 000 population) ,Cabo Verde,NA,44.58
Density of nursing and midwifery personnel (per 10 000 population) ,Cabo Verde,NA,15.87
Density of pharmacists (per 10 000 population) ,Cabo Verde,NA,0.39
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Cabo Verde,NA,93
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Cabo Verde,NA,15.75
Healthy life expectancy at birth (years),Cabo Verde,SEX_BTSX,63.77
Healthy life expectancy at birth (years),Cabo Verde,SEX_MLE,61.34
Healthy life expectancy at birth (years),Cabo Verde,SEX_FMLE,66.11
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Cabo Verde,NA,0.26
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Cabo Verde,SEX_FMLE,93
Life expectancy at birth (years),Cabo Verde,SEX_FMLE,77.44
Life expectancy at birth (years),Cabo Verde,SEX_MLE,68.8
Life expectancy at birth (years),Cabo Verde,SEX_BTSX,73.16
Malaria incidence (per 1000 population at risk),Cabo Verde,NA,0
Maternal mortality ratio (per 100 000 live births),Cabo Verde,NA,42.24
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Cabo Verde,NA,86
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Cabo Verde,SEX_BTSX,12.1
Mortality rate due to homicide (per 100 000 population),Cabo Verde,NA,13.86
Mortality rate from unintentional poisoning (per 100 000 population),Cabo Verde,NA,0.27
Neonatal mortality rate (per 1000 live births),Cabo Verde,SEX_BTSX,8.72
New HIV infections (per 1000 uninfected population),Cabo Verde,SEX_BTSX,0.34
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Cabo Verde,NA,0
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Cabo Verde,SEX_FMLE,24.3
Prevalence of obesity among children and adolescents (5–19 years) (%),Cabo Verde,SEX_BTSX,4.2
Prevalence of stunting in children under 5 (%),Cabo Verde,NA,9.4
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Cabo Verde,NA,17
Proportion of births attended by skilled health personnel (%),Cabo Verde,NA,97.3
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Cabo Verde,NA,11
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Cabo Verde,NA,19
Proportion of population with primary reliance on clean fuels and technology (%),Cabo Verde,NA,83
Reported number of people requiring interventions against NTDs,Cabo Verde,NA,143054
Road traffic mortality rate (per 100 000 population),Cabo Verde,NA,16.5
Suicide mortality rate (per 100 000 population),Cabo Verde,NA,14.29
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Cabo Verde,SEX_BTSX,6.27
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Cabo Verde,NA,3.27
Tuberculosis incidence (per 100 000 population),Cabo Verde,NA,31
UHC: Service coverage index,Cabo Verde,NA,71.18
Under-five mortality rate (per 1000 live births),Cabo Verde,SEX_BTSX,12.29
Adolescent birth rate (per 1000 women),Cambodia,AGEGROUP_YEARS15-19,48.01
Adolescent birth rate (per 1000 women),Cambodia,AGEGROUP_YEARS10-14,0.08
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Cambodia,SEX_BTSX,163.31
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Cambodia,SEX_BTSX,25.7
Age-standardized prevalence of obesity among adults (18+ years) (%),Cambodia,SEX_BTSX,4.36
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Cambodia,SEX_BTSX,17.2
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Cambodia,NA,172.51
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Cambodia,NA,18.35
Average of 15 International Health Regulations core capacity scores,Cambodia,NA,67.53
Density of dentists (per 10 000 population) ,Cambodia,NA,0.86
Density of medical doctors (per 10 000 population) ,Cambodia,NA,2.14
Density of nursing and midwifery personnel (per 10 000 population) ,Cambodia,NA,10.25
Density of pharmacists (per 10 000 population) ,Cambodia,NA,0.35
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Cambodia,NA,85
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Cambodia,NA,6.99
Healthy life expectancy at birth (years),Cambodia,SEX_BTSX,60.63
Healthy life expectancy at birth (years),Cambodia,SEX_MLE,59.26
Healthy life expectancy at birth (years),Cambodia,SEX_FMLE,61.97
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Cambodia,NA,0.19
Life expectancy at birth (years),Cambodia,SEX_FMLE,71.45
Life expectancy at birth (years),Cambodia,SEX_MLE,66.35
Life expectancy at birth (years),Cambodia,SEX_BTSX,68.92
Malaria incidence (per 1000 population at risk),Cambodia,NA,1.48
Maternal mortality ratio (per 100 000 live births),Cambodia,NA,217.98
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Cambodia,NA,69
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Cambodia,SEX_BTSX,17.1
Mortality rate due to homicide (per 100 000 population),Cambodia,NA,1.82
Mortality rate from unintentional poisoning (per 100 000 population),Cambodia,NA,0.43
Neonatal mortality rate (per 1000 live births),Cambodia,SEX_BTSX,12.18
New HIV infections (per 1000 uninfected population),Cambodia,SEX_BTSX,0.08
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Cambodia,NA,0
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Cambodia,NA,84
Population with household expenditures on health > 10% of total household expenditure or income (%),Cambodia,NA,17.86
Population with household expenditures on health > 25% of total household expenditure or income (%),Cambodia,NA,4.92
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Cambodia,SEX_FMLE,47.1
Prevalence of obesity among children and adolescents (5–19 years) (%),Cambodia,SEX_BTSX,5.98
Prevalence of overweight in children under 5 (%),Cambodia,NA,3.8
Prevalence of stunting in children under 5 (%),Cambodia,NA,22.3
Prevalence of wasting in children under 5 (%),Cambodia,NA,9.6
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Cambodia,NA,23.42
Proportion of births attended by skilled health personnel (%),Cambodia,NA,98.7
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Cambodia,NA,9
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Cambodia,NA,19
Proportion of population using a hand-washing facility with soap and water (%),Cambodia,NA,83.35
Proportion of population using safely-managed drinking-water services (%),Cambodia,NA,29.13
Proportion of population using safely-managed sanitation services (%),Cambodia,NA,36.73
Proportion of population with primary reliance on clean fuels and technology (%),Cambodia,NA,53.5
Proportion of safely treated domestic wastewater flows (%),Cambodia,NA,46.79
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Cambodia,SEX_FMLE,56.5
Reported number of people requiring interventions against NTDs,Cambodia,NA,4830549
Road traffic mortality rate (per 100 000 population),Cambodia,NA,18.8
Suicide mortality rate (per 100 000 population),Cambodia,NA,4.67
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Cambodia,SEX_BTSX,8.48
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Cambodia,NA,4.71
Tuberculosis incidence (per 100 000 population),Cambodia,NA,320
UHC: Service coverage index,Cambodia,NA,57.98
Under-five mortality rate (per 1000 live births),Cambodia,SEX_BTSX,23.7
Adolescent birth rate (per 1000 women),Cameroon,AGEGROUP_YEARS15-19,105.28
Adolescent birth rate (per 1000 women),Cameroon,AGEGROUP_YEARS10-14,2.36
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Cameroon,SEX_BTSX,206.69
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Cameroon,SEX_BTSX,36.8
Age-standardized prevalence of obesity among adults (18+ years) (%),Cameroon,SEX_BTSX,14.88
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Cameroon,SEX_BTSX,6.5
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Cameroon,NA,108.74
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Cameroon,NA,61.63
Average of 15 International Health Regulations core capacity scores,Cameroon,NA,49.67
Density of dentists (per 10 000 population) ,Cameroon,NA,0.11
Density of medical doctors (per 10 000 population) ,Cameroon,NA,1.35
Density of nursing and midwifery personnel (per 10 000 population) ,Cameroon,NA,6.5
Density of pharmacists (per 10 000 population) ,Cameroon,NA,0.22
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Cameroon,NA,68
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Cameroon,NA,2.86
Healthy life expectancy at birth (years),Cameroon,SEX_MLE,53.4
Healthy life expectancy at birth (years),Cameroon,SEX_FMLE,54.65
Healthy life expectancy at birth (years),Cameroon,SEX_BTSX,54.01
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Cameroon,NA,1.75
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Cameroon,SEX_FMLE,7
Life expectancy at birth (years),Cameroon,SEX_BTSX,61.77
Life expectancy at birth (years),Cameroon,SEX_MLE,59.89
Life expectancy at birth (years),Cameroon,SEX_FMLE,63.72
Malaria incidence (per 1000 population at risk),Cameroon,NA,231.39
Maternal mortality ratio (per 100 000 live births),Cameroon,NA,437.75
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Cameroon,NA,44
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Cameroon,SEX_BTSX,47.3
Mortality rate due to homicide (per 100 000 population),Cameroon,NA,6.03
Mortality rate from unintentional poisoning (per 100 000 population),Cameroon,NA,1.07
Neonatal mortality rate (per 1000 live births),Cameroon,SEX_BTSX,26.25
New HIV infections (per 1000 uninfected population),Cameroon,SEX_BTSX,0.36
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Cameroon,NA,0
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),Cameroon,NA,70
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),Cameroon,NA,45.45
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Cameroon,NA,67
Population with household expenditures on health > 10% of total household expenditure or income (%),Cameroon,NA,10.71
Population with household expenditures on health > 25% of total household expenditure or income (%),Cameroon,NA,1.78
Prevalence of anaemia in women of reproductive age (15–49 years) (%),Cameroon,SEX_FMLE,40.6
Prevalence of obesity among children and adolescents (5–19 years) (%),Cameroon,SEX_BTSX,4.24
Prevalence of overweight in children under 5 (%),Cameroon,NA,10.5
Prevalence of stunting in children under 5 (%),Cameroon,NA,26.9
Prevalence of wasting in children under 5 (%),Cameroon,NA,4.3
Probability of dying from any of CVD cancer diabetes CRD between age 30 and exact age 70 (%),Cameroon,NA,24.94
Proportion of births attended by skilled health personnel (%),Cameroon,NA,69
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (%) ,Cameroon,NA,22
Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime (%) ,Cameroon,NA,39
Proportion of population using a hand-washing facility with soap and water (%),Cameroon,NA,36.71
Proportion of population with primary reliance on clean fuels and technology (%),Cameroon,NA,29.4
Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%),Cameroon,SEX_FMLE,44.9
Reported number of people requiring interventions against NTDs,Cameroon,NA,11290383
Road traffic mortality rate (per 100 000 population),Cameroon,NA,10.6
Suicide mortality rate (per 100 000 population),Cameroon,NA,8.46
Total alcohol per capita (? 15 years of age) consumption (litres of pure alcohol),Cameroon,SEX_BTSX,10.1
Total net official development assistance to medical research and basic health sectors per capita (US$) by recipient country,Cameroon,NA,4.2
Tuberculosis incidence (per 100 000 population),Cameroon,NA,157
UHC: Service coverage index,Cameroon,NA,43.88
Under-five mortality rate (per 1000 live births),Cameroon,SEX_BTSX,69.83
Adolescent birth rate (per 1000 women),Canada,AGEGROUP_YEARS10-14,0.06
Adolescent birth rate (per 1000 women),Canada,AGEGROUP_YEARS15-19,4.93
Age-standardized mortality rate attributed to household and ambient air pollution  (per 100 000 population) ,Canada,SEX_BTSX,8.11
Age-standardized prevalence of hypertension among adults aged 30–79 years (%),Canada,SEX_BTSX,22.1
Age-standardized prevalence of obesity among adults (18+ years) (%),Canada,SEX_BTSX,26.23
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Canada,SEX_BTSX,12
Annual mean concentrations of fine particulate matter (PM2.5) in urban areas (µg/m3),Canada,NA,6.7
Average of 15 International Health Regulations core capacity scores,Canada,NA,96.2
Density of dentists (per 10 000 population) ,Canada,NA,6.57
Density of medical doctors (per 10 000 population) ,Canada,NA,24.97
Density of nursing and midwifery personnel (per 10 000 population) ,Canada,NA,103.1
Density of pharmacists (per 10 000 population) ,Canada,NA,10.41
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Canada,NA,92
Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Canada,NA,19.61
Healthy life expectancy at birth (years),Canada,SEX_BTSX,69.78
Healthy life expectancy at birth (years),Canada,SEX_FMLE,70.64
Healthy life expectancy at birth (years),Canada,SEX_MLE,68.93
Hepatitis B surface antigen (HBsAg) prevalence among children under 5 years (%),Canada,NA,0.34
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Canada,SEX_FMLE,86
Life expectancy at birth (years),Canada,SEX_BTSX,81.58
Life expectancy at birth (years),Canada,SEX_MLE,79.37
Life expectancy at birth (years),Canada,SEX_FMLE,83.81
Maternal mortality ratio (per 100 000 live births),Canada,NA,11.01
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Canada,NA,79
Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population),Canada,SEX_BTSX,2.3
Mortality rate due to homicide (per 100 000 population),Canada,NA,1.64
Mortality rate from unintentional poisoning (per 100 000 population),Canada,NA,0.3
Neonatal mortality rate (per 1000 live births),Canada,SEX_BTSX,3.33
Number of cases of poliomyelitis caused by wild poliovirus (WPV),Canada,NA,0
